chrom	exonCount	exonStarts	exonEnds	name2
chr1	6	"117143586,117147612,117153090,117156573,117170106,117203617,"	"117145225,117147782,117153369,117156921,117170171,117203836,"	VTCN1
chr1	6	"117143586,117147612,117153090,117156573,117170106,117210823,"	"117145225,117147782,117153369,117157011,117170171,117210960,"	VTCN1
chr1	6	"117143586,117147612,117153090,117156573,117170106,117210823,"	"117145225,117147782,117153369,117156921,117170171,117210960,"	VTCN1
chr1	6	"117143586,117147612,117153090,117156659,117170106,117210823,"	"117145225,117147782,117153249,117156921,117170171,117210960,"	VTCN1
chr1	5	"117143586,117147612,117153090,117170106,117210823,"	"117145225,117147782,117153369,117170171,117210960,"	VTCN1
chr1	34	"119911552,119917664,119918405,119919311,119920228,119921712,119922235,119922635,119923636,119925304,119926498,119928975,119935471,119937281,119937856,119940554,119941525,119948413,119949006,119950723,119953542,119955039,119959391,119963573,119965452,119966375,119967432,119968076,119969510,119986959,119996996,120005328,120029905,120069333,"	"119916694,119917762,119918553,119919613,119920397,119921809,119922446,119922778,119923984,119925810,119926611,119929212,119935604,119937466,119938010,119940756,119941754,119948566,119949126,119950837,119953688,119955232,119959502,119963807,119965566,119966489,119967621,119968232,119969744,119987082,119997332,120005588,120029987,120069703,"	NOTCH2
chr1	22	"119935112,119937281,119937856,119940554,119941525,119948413,119949006,119950723,119953542,119955039,119959391,119963573,119965452,119966375,119967432,119968076,119969510,119986959,119996996,120005328,120029905,120069333,"	"119935604,119937466,119938010,119940756,119941754,119948566,119949126,119950837,119953688,119955232,119959502,119963807,119965566,119966489,119967621,119968232,119969744,119987082,119997332,120005588,120029987,120069703,"	NOTCH2
chr1	10	"147541500,147604776,147606783,147611577,147612882,147614426,147615802,147618815,147622270,147623841,"	"147541674,147604911,147606866,147611889,147613199,147614616,147615902,147621057,147622531,147626219,"	BCL9
chr1	4	"161314375,161340593,161356676,161362328,"	"161314425,161340655,161356840,161364751,"	SDHC
chr1	4	"161314375,161323613,161340593,161362328,"	"161314425,161323670,161340655,161364751,"	SDHC
chr1	5	"161314375,161323613,161340593,161356676,161362328,"	"161314425,161323670,161340655,161356840,161364751,"	SDHC
chr1	5	"161314375,161323613,161328395,161340593,161362328,"	"161314425,161323670,161328497,161340655,161364751,"	SDHC
chr1	6	"161314375,161323613,161328395,161340593,161356676,161362328,"	"161314425,161323670,161328497,161340655,161356840,161364751,"	SDHC
chr1	7	"161314375,161323613,161328395,161339561,161340593,161356676,161362328,"	"161314425,161323670,161328497,161339588,161340655,161356840,161364751,"	SDHC
chr1	18	"162632437,162655210,162719036,162753094,162754623,162755155,162755663,162759795,162761210,162766000,162767228,162770301,162772023,162773468,162775651,162776135,162778579,162780111,"	"162632631,162655374,162719145,162753197,162754855,162755303,162755769,162759979,162761454,162766063,162767359,162770512,162772247,162773596,162775843,162776370,162778729,162780465,"	DDR2
chr1	19	"162632437,162655210,162705051,162719036,162753094,162754623,162755155,162755663,162759795,162761210,162766000,162767228,162770301,162772023,162773468,162775651,162776135,162778579,162780111,"	"162632631,162655374,162705131,162719145,162753197,162754855,162755303,162755769,162759979,162761454,162766063,162767359,162770512,162772247,162773596,162775843,162776370,162778729,162780465,"	DDR2
chr1	12	"179099326,179110281,179112308,179114877,179117331,179118586,179120189,179121594,179126376,179131310,179133311,179229240,"	"179109441,179110455,179112398,179115030,179117516,179118764,179120274,179121867,179126672,179131481,179133374,179229684,"	ABL2
chr1	13	"179099326,179109207,179110281,179112308,179114877,179117331,179118586,179120189,179121594,179126376,179131310,179133311,179229240,"	"179108898,179109441,179110455,179112398,179115030,179117516,179118764,179120274,179121867,179126672,179131481,179133374,179229684,"	ABL2
chr1	11	"179099326,179110281,179112308,179114877,179117331,179118586,179120189,179121594,179126376,179131310,179229240,"	"179109441,179110455,179112398,179115030,179117516,179118764,179120274,179121867,179126672,179131481,179229684,"	ABL2
chr1	12	"179099326,179109207,179110281,179112308,179114877,179117331,179118586,179120189,179121594,179126376,179131310,179229240,"	"179108898,179109441,179110455,179112398,179115030,179117516,179118764,179120274,179121867,179126672,179131481,179229684,"	ABL2
chr1	10	"179110580,179112308,179114877,179117331,179118586,179120189,179121594,179126376,179131310,179229240,"	"179110845,179112398,179115030,179117516,179118764,179120274,179121867,179126672,179131481,179229684,"	ABL2
chr1	7	"182573633,182576255,182581224,182582052,182584080,182585326,182589166,"	"182575578,182576389,182581357,182582258,182584166,182586970,182589259,"	RNASEL
chr1	7	"185045418,185087551,185091578,185093060,185098071,185099790,185100199,"	"185045649,185087640,185091739,185093276,185098344,185099962,185102608,"	RNF2
chr1	17	"193121957,193125111,193130173,193135390,193135536,193138084,193141849,193147866,193150303,193152379,193203794,193212064,193212389,193232992,193236255,193249729,193250675,"	"193122331,193125217,193130243,193135453,193135589,193138173,193142066,193147965,193150382,193152444,193203852,193212100,193212477,193233154,193236356,193249871,193254815,"	CDC73
chr1	7	"218345333,218405168,218434081,218434337,218435969,218437342,218441203,"	"218347047,218405332,218434214,218434448,218436147,218437496,218444619,"	TGFB2
chr1	8	"218345333,218363333,218405168,218434081,218434337,218435969,218437342,218441203,"	"218347047,218363417,218405332,218434214,218434448,218436147,218437496,218444619,"	TGFB2
chr1	23	"226360690,226361968,226363098,226363942,226365001,226365953,226367479,226368198,226370433,226374225,226377107,226379141,226379572,226379921,226381067,226383035,226385503,226386325,226388655,226390409,226392198,226402213,226407809,"	"226361541,226362083,226363160,226364070,226365154,226366052,226367608,226368321,226370517,226374354,226377303,226379274,226379641,226380164,226381208,226383183,226385680,226386442,226388755,226390624,226392314,226402379,226408100,"	PARP1
chr1	32	"236795280,236803427,236806143,236808703,236810502,236812737,236815603,236816448,236824118,236825337,236826828,236829188,236835546,236838413,236850343,236852520,236852947,236859832,236861124,236862235,236863453,236873772,236874725,236880754,236885120,236886291,236889180,236891132,236894356,236895357,236897005,236897557,"	"236795737,236803642,236806233,236808773,236810595,236812844,236815663,236816543,236824219,236825399,236826896,236829268,236835687,236838599,236850523,236852637,236853088,236859922,236861277,236862343,236863554,236873840,236874846,236880836,236885219,236886367,236889336,236891329,236894557,236895550,236897118,236903981,"	MTR
chr1	32	"236795280,236803427,236806143,236808703,236810502,236812737,236815603,236816448,236824118,236825337,236826828,236829188,236831965,236835546,236838413,236850343,236852520,236852947,236859832,236862235,236863453,236873772,236874725,236880754,236885120,236886291,236889180,236891132,236894356,236895357,236897005,236897557,"	"236795737,236803642,236806233,236808773,236810595,236812844,236815663,236816543,236824219,236825399,236826896,236829268,236832078,236835687,236838599,236850523,236852637,236853088,236859922,236862343,236863554,236873840,236874846,236880836,236885219,236886367,236889336,236891329,236894557,236895550,236897118,236903981,"	MTR
chr1	33	"236795280,236803427,236806143,236808703,236810502,236812737,236815603,236816448,236824118,236825337,236826828,236829188,236831965,236835546,236838413,236850343,236852520,236852947,236859832,236861124,236862235,236863453,236873772,236874725,236880754,236885120,236886291,236889180,236891132,236894356,236895357,236897005,236897557,"	"236795737,236803642,236806233,236808773,236810595,236812844,236815663,236816543,236824219,236825399,236826896,236829268,236832078,236835687,236838599,236850523,236852637,236853088,236859922,236861277,236862343,236863554,236873840,236874846,236880836,236885219,236886367,236889336,236891329,236894557,236895550,236897118,236903981,"	MTR
chr1	14	"243488232,243499736,243512323,243545509,243552728,243563719,243572925,243613670,243615095,243637610,243645892,243664771,243695590,243843124,"	"243488450,243499786,243512426,243545597,243552943,243563848,243573048,243613739,243615161,243637742,243646037,243664883,243695716,243843282,"	AKT3
chr1	13	"243499718,243512323,243545509,243552728,243563719,243572925,243613670,243615095,243637610,243645892,243664771,243695590,243843124,"	"243505334,243512426,243545597,243552943,243563848,243573048,243613739,243615161,243637742,243646037,243664883,243695716,243843282,"	AKT3
chr1	14	"243499718,243512323,243545509,243552728,243563719,243572925,243613670,243615095,243637610,243645892,243664771,243695590,243843124,243843543,"	"243499786,243512426,243545597,243552943,243563848,243573048,243613739,243615161,243637742,243646037,243664883,243695716,243843282,243843584,"	AKT3
chr1	7	"1211325,1211703,1211941,1212637,1212991,1213662,1213982,"	"1211625,1211832,1212138,1212704,1213093,1213785,1214168,"	TNFRSF4
chr1	7	"2556364,2557725,2558342,2559822,2560623,2562864,2563147,"	"2556733,2557834,2558468,2559978,2560714,2562896,2565622,"	TNFRSF14
chr1	8	"2556364,2557725,2558342,2559822,2560623,2561672,2562864,2563147,"	"2556733,2557834,2558468,2559978,2560714,2561815,2562896,2565622,"	TNFRSF14
chr1	4	"8011718,8015307,8015494,8026157,"	"8014396,8015384,8015692,8026333,"	ERRFI1
chr1	17	"16124336,16129433,16130225,16131720,16132063,16132377,16133179,16133480,16133859,16134467,16135035,16135654,16137852,16138274,16148377,16150895,16155847,"	"16125320,16129589,16130419,16131870,16132273,16132439,16133368,16133606,16133915,16134567,16135189,16135770,16138185,16138430,16149047,16150963,16156087,"	EPHA2
chr1	8	"18631005,18634302,18635110,18636242,18691753,18700652,18703093,18735631,"	"18631688,18634538,18635240,18636371,18691953,18700818,18703296,18736138,"	PAX7
chr1	8	"18631005,18634302,18635110,18636236,18691753,18700652,18703093,18735631,"	"18631688,18634538,18635240,18636371,18691953,18700818,18703296,18736138,"	PAX7
chr1	4	"20588950,20604927,20613841,20618451,"	"20589283,20605039,20613899,20618908,"	CDA
chr1	5	"25884185,25901490,25903640,25904663,25906388,"	"25885869,25901682,25903813,25904738,25906502,"	STMN1
chr1	5	"25900115,25901490,25903640,25904663,25905851,"	"25901087,25901682,25903813,25904738,25906153,"	STMN1
chr1	5	"25900115,25901490,25903640,25904663,25906388,"	"25901087,25901682,25903813,25904738,25906502,"	STMN1
chr1	5	"25900115,25901490,25903640,25904663,25906787,"	"25901087,25901682,25903813,25904738,25906877,"	STMN1
chr1	14	"32292106,32302620,32316664,32324478,32326938,32327535,32329067,32330577,32330767,32331473,32331675,32332089,32332700,32333016,"	"32292218,32302733,32316782,32324553,32327077,32327677,32329160,32330686,32330908,32331582,32331806,32332242,32332749,32333623,"	HDAC1
chr1	2	"39895423,39900938,"	"39897970,39902015,"	MYCL
chr1	3	"39895423,39900938,39901807,"	"39897970,39901443,39902015,"	MYCL
chr1	2	"39899611,39901807,"	"39901443,39902015,"	MYCL
chr1	12	"43337803,43338098,43338541,43339270,43339963,43340386,43346444,43346791,43348842,43349262,43352215,43352517,"	"43337927,43338231,43338720,43339569,43340126,43340513,43346629,43346934,43349002,43349359,43352303,43354464,"	MPL
chr1	17	"45329241,45330515,45331181,45331419,45331660,45332022,45332165,45332390,45332573,45332762,45332917,45333096,45333284,45333412,45334390,45338506,45339898,"	"45329437,45330557,45331334,45331556,45331849,45332086,45332310,45332488,45332687,45332834,45332959,45333170,45333324,45333561,45334511,45338656,45339957,"	MUTYH
chr1	16	"45329241,45330515,45331181,45331419,45331660,45332022,45332165,45332390,45332573,45332762,45332917,45333096,45333284,45333412,45334390,45339898,"	"45329437,45330557,45331334,45331556,45331849,45332086,45332310,45332488,45332687,45332834,45332959,45333170,45333324,45333594,45334511,45339957,"	MUTYH
chr1	16	"45329241,45330515,45331181,45331419,45331660,45332022,45332165,45332390,45332573,45332762,45332917,45333096,45333284,45333412,45334390,45339898,"	"45329437,45330557,45331334,45331556,45331849,45332086,45332310,45332488,45332687,45332834,45332959,45333170,45333324,45333561,45334511,45339957,"	MUTYH
chr1	16	"45329241,45330515,45331181,45331419,45331660,45332022,45332165,45332390,45332573,45332762,45332917,45333096,45333284,45333412,45334390,45339975,"	"45329437,45330557,45331334,45331556,45331849,45332086,45332310,45332488,45332687,45332834,45332959,45333170,45333324,45333564,45334511,45340115,"	MUTYH
chr1	16	"45329241,45330515,45331181,45331419,45331660,45332022,45332165,45332390,45332573,45332762,45332917,45333096,45333284,45333412,45334390,45339975,"	"45329437,45330557,45331334,45331556,45331849,45332086,45332310,45332488,45332687,45332834,45332959,45333170,45333324,45333561,45334511,45340115,"	MUTYH
chr1	16	"45329241,45330515,45331181,45331419,45331660,45332022,45332165,45332390,45332573,45332762,45332917,45333096,45333284,45333412,45334390,45339975,"	"45329437,45330557,45331334,45331556,45331849,45332086,45332310,45332488,45332687,45332834,45332959,45333170,45333324,45333497,45334511,45340116,"	MUTYH
chr1	16	"45329241,45330515,45331181,45331419,45331660,45332022,45332165,45332390,45332573,45332762,45332917,45333096,45333284,45333412,45334390,45340218,"	"45329437,45330557,45331334,45331556,45331849,45332086,45332310,45332488,45332687,45332834,45332959,45333170,45333324,45333603,45334511,45340470,"	MUTYH
chr1	16	"45329241,45330515,45331181,45331419,45331660,45332022,45332165,45332390,45332573,45332762,45332917,45333096,45333284,45333412,45334390,45340218,"	"45329437,45330557,45331334,45331556,45331849,45332086,45332310,45332488,45332687,45332834,45332959,45333170,45333324,45333594,45334511,45340470,"	MUTYH
chr1	16	"45329241,45330515,45331181,45331419,45331660,45332022,45332165,45332390,45332573,45332762,45332917,45333096,45333284,45333412,45334390,45340218,"	"45329437,45330557,45331334,45331556,45331849,45332086,45332310,45332488,45332687,45332834,45332959,45333170,45333324,45333564,45334511,45340470,"	MUTYH
chr1	16	"45329241,45330515,45331181,45331419,45331660,45332022,45332165,45332390,45332573,45332762,45332917,45333096,45333284,45333412,45334390,45340218,"	"45329437,45330557,45331334,45331556,45331849,45332086,45332310,45332488,45332687,45332834,45332959,45333170,45333324,45333561,45334511,45340470,"	MUTYH
chr1	16	"45329241,45330515,45331181,45331419,45331660,45332022,45332165,45332390,45332573,45332762,45332917,45333096,45333284,45333412,45334390,45340218,"	"45329437,45330557,45331334,45331556,45331849,45332086,45332310,45332488,45332687,45332834,45332959,45333170,45333324,45333497,45334511,45340470,"	MUTYH
chr1	10	"46040139,46045917,46046550,46055794,46061928,46066053,46066910,46077514,46080641,46131846,"	"46043871,46046088,46046625,46055971,46062071,46066179,46067091,46077613,46080750,46132708,"	PIK3R3
chr1	9	"46040139,46045917,46046550,46061928,46066053,46066910,46077514,46080641,46131846,"	"46043871,46046088,46046625,46062071,46066179,46067091,46077613,46080750,46132708,"	PIK3R3
chr1	11	"46040139,46045917,46046550,46055794,46061928,46066053,46066910,46077514,46080641,46131846,46132698,"	"46043871,46046088,46046625,46055971,46062071,46066179,46067091,46077613,46080750,46131956,46132795,"	PIK3R3
chr1	11	"46040139,46045917,46046550,46055794,46061928,46066053,46066910,46077514,46080641,46131846,46132783,"	"46043871,46046088,46046625,46055971,46062071,46066179,46067091,46077613,46080750,46131956,46133036,"	PIK3R3
chr1	3	"50968694,50970357,50973892,"	"50969899,50970497,50974634,"	CDKN2C
chr1	2	"50969969,50973892,"	"50970497,50974637,"	CDKN2C
chr1	1	"58780790,"	"58784113,"	JUN
chr1	7	"109687795,109688169,109688672,109689047,109689224,109690270,109693205,"	"109687909,109688245,109688737,109689129,109689325,109690366,109693745,"	GSTM1
chr1	8	"109687795,109688169,109688672,109689047,109689224,109690270,109690453,109693205,"	"109687909,109688245,109688737,109689129,109689325,109690366,109690564,109693745,"	GSTM1
chr1	7	"114704463,114708153,114708530,114709568,114713799,114716049,114716657,"	"114708050,114708192,114708654,114709728,114713978,114716177,114716894,"	NRAS
chr1	4	"119507202,119507391,119511502,119513833,"	"119507262,119507621,119511667,119515058,"	HSD3B1
chr1	3	"150574550,150578243,150578842,"	"150577491,150578491,150579738,"	MCL1
chr1	2	"150574550,150578842,"	"150577491,150579738,"	MCL1
chr1	4	"150574550,150578243,150578842,150579422,"	"150577491,150578491,150578963,150579738,"	MCL1
chr1	9	"150926338,150927703,150929966,150939939,150941328,150942562,150942851,150943919,150944917,"	"150926463,150927974,150930118,150939974,150941428,150942688,150943053,150943993,150945320,"	SETDB1
chr1	22	"150926338,150927703,150929966,150939939,150941328,150942562,150942851,150943919,150944917,150946885,150949121,150949369,150950457,150951364,150959177,150960562,150962129,150962586,150962973,150963529,150963994,150964249,"	"150926517,150927974,150930118,150939974,150941428,150942688,150943053,150943993,150945108,150947012,150949278,150949525,150951090,150951481,150959347,150961191,150962158,150962719,150963139,150963741,150964083,150964744,"	SETDB1
chr1	22	"150926338,150927703,150929966,150939939,150941328,150942562,150942851,150943919,150944917,150946885,150949121,150949369,150950457,150951364,150959177,150960562,150962129,150962586,150962973,150963529,150963994,150964246,"	"150926517,150927974,150930118,150939974,150941428,150942688,150943053,150943993,150945108,150947012,150949278,150949525,150951090,150951481,150959347,150961191,150962158,150962719,150963139,150963741,150964083,150964744,"	SETDB1
chr1	8	"154155303,154170399,154170648,154171412,154172907,154173083,154176114,154178113,"	"154157721,154170469,154170711,154171488,154172978,154173201,154176248,154178221,"	TPM3
chr1	9	"154155303,154169304,154170399,154170648,154172028,154172907,154173083,154176114,154182987,"	"154157721,154169383,154170469,154170711,154172104,154172978,154173201,154176248,154183249,"	TPM3
chr1	8	"154155303,154170399,154170648,154172028,154172907,154173083,154176114,154182987,"	"154159048,154170469,154170711,154172104,154172978,154173201,154176248,154183249,"	TPM3
chr1	8	"154155303,154170399,154170648,154172028,154172907,154173083,154176114,154182987,"	"154157721,154170469,154170711,154172104,154172978,154173201,154176248,154183249,"	TPM3
chr1	8	"154155303,154170399,154170648,154172028,154172907,154173083,154176114,154182987,"	"154157721,154170465,154170711,154172104,154172978,154173201,154176248,154183249,"	TPM3
chr1	7	"154155303,154170399,154172028,154172907,154173083,154176114,154182987,"	"154157721,154170469,154172104,154172978,154173201,154176248,154183249,"	TPM3
